name;slug;value;date_of_information;ranking;region
China;china;10773248000;2019 est.;1;East and Southeast Asia
United States;united-states;5144361000;2019 est.;2;North America
India;india;2314738000;2019 est.;3;South Asia
Russia;russia;1848070000;2019 est.;4;Central Asia
Japan;japan;1103234000;2019 est.;5;East and Southeast Asia
Germany;germany;726881000;2019 est.;6;Europe
Korea, South;korea-south;686954000;2019 est.;7;East and Southeast Asia
Iran;iran;646038000;2019 est.;8;Middle East
Canada;canada;612084000;2019 est.;9;North America
Saudi Arabia;saudi-arabia;579925000;2019 est.;10;Middle East
Indonesia;indonesia;563543000;2019 est.;11;East and Southeast Asia
South Africa;south-africa;470358000;2019 est.;12;Africa
Mexico;mexico;463739000;2019 est.;13;North America
Brazil;brazil;456670000;2019 est.;14;South America
Australia;australia;417870000;2019 est.;15;Australia and Oceania
United Kingdom;united-kingdom;398084000;2019 est.;16;Europe
France;france;338425000;2019 est.;18;Europe
Italy;italy;332041000;2019 est.;19;Europe
Thailand;thailand;305273000;2019 est.;20;East and Southeast Asia
Poland;poland;304040000;2019 est.;21;Europe
Spain;spain;280624000;2019 est.;22;Europe
Taiwan;taiwan;279206000;2019 est.;23;East and Southeast Asia
United Arab Emirates;united-arab-emirates;276236000;2019 est.;24;Middle East
Kazakhstan;kazakhstan;263689000;2019 est.;25;Central Asia
Malaysia;malaysia;254764000;2019 est.;26;East and Southeast Asia
Vietnam;vietnam;249929000;2019 est.;27;East and Southeast Asia
Singapore;singapore;238983000;2019 est.;28;East and Southeast Asia
Egypt;egypt;235137000;2019 est.;29;Africa
Netherlands;netherlands;214416000;2019 est.;30;Europe
Pakistan;pakistan;193869000;2019 est.;31;South Asia
Argentina;argentina;193205000;2019 est.;32;South America
Ukraine;ukraine;185686000;2019 est.;33;Europe
Algeria;algeria;151633000;2019 est.;34;Africa
Iraq;iraq;143479000;2019 est.;35;Middle East
Philippines;philippines;142282000;2019 est.;36;East and Southeast Asia
Belgium;belgium;128247000;2019 est.;37;Europe
Qatar;qatar;111922000;2019 est.;38;Middle East
Turkmenistan;turkmenistan;109037000;2019 est.;39;Central Asia
Nigeria;nigeria;104494000;2019 est.;40;Africa
Venezuela;venezuela;103708000;2019 est.;41;South America
Uzbekistan;uzbekistan;102965000;2019 est.;42;Central Asia
Czechia;czechia;99533000;2019 est.;43;Europe
Bangladesh;bangladesh;96180000;2019 est.;44;South Asia
Kuwait;kuwait;92582000;2019 est.;45;Middle East
Hong Kong;hong-kong;92493000;2019 est.;46;East and Southeast Asia
Chile;chile;88333000;2019 est.;47;South America
Colombia;colombia;81007000;2019 est.;48;South America
Oman;oman;76321000;2019 est.;49;Middle East
Greece;greece;70163000;2019 est.;50;Europe
Romania;romania;68746000;2019 est.;51;Europe
Austria;austria;65540000;2019 est.;52;Europe
Israel;israel;61092000;2019 est.;53;Middle East
Morocco;morocco;60200000;2019 est.;54;Africa
Peru;peru;54996000;2019 est.;55;South America
Belarus;belarus;54695000;2019 est.;56;Europe
Portugal;portugal;50370000;2019 est.;57;Europe
Hungary;hungary;48589000;2019 est.;58;Europe
Sweden;sweden;48144000;2019 est.;59;Europe
Serbia;serbia;47735000;2019 est.;60;Europe
Bahrain;bahrain;43112000;2019 est.;61;Middle East
Finland;finland;41996000;2019 est.;62;Europe
Laos;laos;40726000;2019 est.;63;East and Southeast Asia
New Zealand;new-zealand;40344000;2019 est.;64;Australia and Oceania
Trinidad and Tobago;trinidad-and-tobago;39652000;2019 est.;65;Central America and the Caribbean
Switzerland;switzerland;38739000;2019 est.;66;Europe
Bulgaria;bulgaria;38373000;2019 est.;67;Europe
Libya;libya;38297000;2019 est.;68;Africa
Norway;norway;36731000;2019 est.;69;Europe
Ecuador;ecuador;36051000;2019 est.;70;South America
Ireland;ireland;35475000;2019 est.;71;Europe
Azerbaijan;azerbaijan;35389000;2019 est.;72;Middle East
Denmark;denmark;33850000;2019 est.;73;Europe
Slovakia;slovakia;32506000;2019 est.;74;Europe
Burma;burma;31848000;2019 est.;75;East and Southeast Asia
Syria;syria;26893000;2019 est.;76;Middle East
Dominican Republic;dominican-republic;26808000;2019 est.;77;Central America and the Caribbean
Lebanon;lebanon;25838000;2019 est.;78;Middle East
Panama;panama;25263000;2019 est.;79;Central America and the Caribbean
Sri Lanka;sri-lanka;23939000;2019 est.;80;South Asia
Tunisia;tunisia;23692000;2019 est.;81;Africa
Jordan;jordan;23470000;2019 est.;82;Middle East
Mongolia;mongolia;22740000;2019 est.;83;East and Southeast Asia
